State,County,PovertyRate,MedianHouseholdIncome
GA,Washington County,21.4,"41,674"
GA,Wayne County,18.4,"47,382"
GA,Webster County,18.4,"41,547"
GA,Wheeler County,34.2,"35,927"
GA,White County,10.9,"54,786"
GA,Whitfield County,12.7,"53,115"
GA,Wilcox County,29.4,"38,261"
GA,Wilkes County,19.6,"39,716"
GA,Wilkinson County,17,"43,902"
GA,Worth County,20.3,"43,142"
HI,Hawaii,9,"83,734"
HI,Hawaii County,13.1,"64,929"
HI,Honolulu County,7.9,"86,946"
HI,Kalawao County,.,.
HI,Kauai County,9.3,"73,029"
HI,Maui County,10.7,"77,375"
ID,Idaho,11,"60,830"
ID,Ada County,9.4,"72,295"
ID,Adams County,12.7,"50,042"
ID,Bannock County,13.5,"53,306"
ID,Bear Lake County,11.8,"54,550"
ID,Benewah County,15.4,"49,303"
ID,Bingham County,11.1,"59,959"
ID,Blaine County,7.2,"75,778"
ID,Boise County,11.6,"64,443"
ID,Bonner County,12.6,"56,729"
ID,Bonneville County,9.3,"65,165"
ID,Boundary County,14.8,"50,709"
ID,Butte County,14.6,"51,742"
ID,Camas County,9,"56,014"
ID,Canyon County,10.1,"58,670"
ID,Caribou County,10.1,"61,518"
ID,Cassia County,12,"53,284"
ID,Clark County,14.5,"48,726"
ID,Clearwater County,13.5,"49,816"
ID,Custer County,13,"49,055"
ID,Elmore County,14.1,"47,796"
ID,Franklin County,8.2,"55,421"
ID,Fremont County,12.7,"56,162"
ID,Gem County,12.7,"53,733"
ID,Gooding County,15.1,"50,205"
ID,Idaho County,13.8,"48,866"
ID,Jefferson County,9.2,"63,078"
ID,Jerome County,14.2,"56,320"
ID,Kootenai County,10,"62,764"
ID,Latah County,11.7,"54,999"
ID,Lemhi County,13.5,"46,062"
ID,Lewis County,13.2,"45,342"
ID,Lincoln County,11.2,"50,608"
ID,Madison County,27.4,"46,177"
ID,Minidoka County,11.3,"56,173"
ID,Nez Perce County,11.1,"67,645"
ID,Oneida County,11.3,"55,833"
ID,Owyhee County,14.9,"48,395"
ID,Payette County,11,"53,643"
ID,Power County,13.1,"50,981"
ID,Shoshone County,19.1,"39,239"
ID,Teton County,7.7,"73,637"
ID,Twin Falls County,11,"56,141"
ID,Valley County,8.8,"64,041"
ID,Washington County,13.4,"45,813"
IL,Illinois,11.4,"69,212"
IL,Adams County,12.3,"55,942"
IL,Alexander County,24,"37,408"
IL,Bond County,13,"53,447"
IL,Boone County,8.9,"72,426"
IL,Brown County,14.8,"60,254"
IL,Bureau County,11.2,"57,935"
IL,Calhoun County,9.7,"63,373"
IL,Carroll County,11.1,"56,468"
IL,Cass County,13,"51,011"
IL,Champaign County,19.9,"53,485"
IL,Christian County,12.3,"51,573"
IL,Clark County,10.8,"58,323"
IL,Clay County,13.8,"49,377"
IL,Clinton County,7.5,"67,201"
IL,Coles County,16.8,"50,467"
IL,Cook County,13,"69,375"
IL,Crawford County,12.6,"50,352"
IL,Cumberland County,10.1,"53,991"
IL,DeKalb County,13,"64,676"
IL,De Witt County,11,"59,521"
IL,Douglas County,8,"64,283"
IL,DuPage County,6,"96,354"
IL,Edgar County,13.2,"51,333"
IL,Edwards County,11.8,"54,930"
IL,Effingham County,9.2,"58,943"
IL,Fayette County,15.1,"48,913"
IL,Ford County,10,"55,369"
IL,Franklin County,16.4,"43,695"
IL,Fulton County,13.3,"50,461"
IL,Gallatin County,19,"46,515"
IL,Greene County,13.7,"52,116"
IL,Grundy County,5.6,"83,135"
IL,Hamilton County,12.7,"51,031"
IL,Hancock County,12.3,"53,724"
IL,Hardin County,18,"44,573"
IL,Henderson County,11,"55,535"
IL,Henry County,8.7,"61,680"
IL,Iroquois County,11.6,"51,542"
IL,Jackson County,25.4,"37,308"
IL,Jasper County,9.9,"59,980"
IL,Jefferson County,14.9,"50,531"
IL,Jersey County,10.4,"63,351"
IL,Jo Daviess County,9.3,"62,522"
IL,Johnson County,12.9,"55,022"
IL,Kane County,8.2,"84,311"
IL,Kankakee County,12.7,"60,763"
IL,Kendall County,4,"105,586"
IL,Knox County,18.6,"43,404"
IL,Lake County,7.2,"92,638"
IL,La Salle County,12.2,"59,528"
IL,Lawrence County,18.4,"47,114"
IL,Lee County,12,"57,619"
IL,Livingston County,13,"54,422"
IL,Logan County,12.8,"53,806"
IL,McDonough County,23.3,"49,048"
IL,McHenry County,5.4,"89,379"
IL,McLean County,14.3,"69,230"
IL,Macon County,16.7,"52,259"
IL,Macoupin County,13.5,"54,174"
IL,Madison County,10.9,"66,591"
IL,Marion County,15,"52,291"
IL,Marshall County,9,"63,628"
IL,Mason County,12.1,"51,967"
IL,Massac County,15.9,"54,159"
IL,Menard County,8.2,"77,306"
IL,Mercer County,8.1,"62,241"
IL,Monroe County,4.2,"90,904"
IL,Montgomery County,16,"51,665"
IL,Morgan County,13.8,"55,937"
IL,Moultrie County,8.6,"65,472"
IL,Ogle County,9.4,"63,565"
IL,Peoria County,14.8,"57,717"
IL,Perry County,14.4,"56,880"
IL,Piatt County,6.5,"72,265"
IL,Pike County,14.4,"54,309"
IL,Pope County,16.9,"46,478"
IL,Pulaski County,22,"38,506"
IL,Putnam County,7.6,"74,367"
IL,Randolph County,12.7,"58,444"
IL,Richland County,13.1,"49,775"
IL,Rock Island County,13.6,"57,772"
IL,St. Clair County,13.3,"57,726"
IL,Saline County,15.7,"48,547"
IL,Sangamon County,12.2,"61,768"
IL,Schuyler County,11.3,"56,015"
IL,Scott County,11.2,"61,231"
IL,Shelby County,9.4,"61,376"
IL,Stark County,11.2,"54,804"
IL,Stephenson County,11.5,"51,786"
IL,Tazewell County,8.2,"66,206"
IL,Union County,17.2,"51,575"
IL,Vermilion County,16.8,"46,295"
IL,Wabash County,13.5,"54,249"
IL,Warren County,11.4,"53,621"
IL,Washington County,8.1,"64,297"
IL,Wayne County,13.1,"51,829"
IL,White County,14.5,"51,388"
IL,Whiteside County,11.4,"50,880"
IL,Will County,6.5,"90,249"
IL,Williamson County,13.4,"56,958"
IL,Winnebago County,16.1,"59,510"
IL,Woodford County,6.1,"77,117"
IN,Indiana,11.9,"57,617"
IN,Adams County,12.6,"53,532"
IN,Allen County,10.5,"56,838"
IN,Bartholomew County,11.2,"71,181"
IN,Benton County,8.7,"55,016"
IN,Blackford County,12.8,"46,811"
IN,Boone County,6.9,"84,137"
IN,Brown County,10.5,"59,617"
IN,Carroll County,8.7,"58,965"
IN,Cass County,12.6,"51,777"
IN,Clark County,9.7,"59,441"
IN,Clay County,11.3,"54,349"
IN,Clinton County,11.3,"55,336"
IN,Crawford County,16.5,"44,332"
IN,Daviess County,11.3,"56,611"
IN,Dearborn County,9.3,"71,351"
IN,Decatur County,9.6,"60,891"
IN,De Kalb County,9.5,"59,714"
