State,County_Name,socio_index,built_index,air_index,land_index,water_index,environmental_quality_index
KY,Breathitt County,1.589583755,-0.54608947,0.69082129,-1.306278706,1.35358572,-0.188497439
KY,Breckinridge County,1.061501622,1.192340851,-0.367201954,0.135560334,1.261996031,0.558276296
KY,Bullitt County,0.037013005,1.531600714,0.274178237,-0.106738225,0.560172737,1.042525053
KY,Butler County,1.0669204,0.673398912,0.984023035,0.013603977,1.233579278,1.013253689
KY,Caldwell County,0.772500575,0.088970415,0.228315324,0.717550635,1.156569242,0.479160547
KY,Calloway County,-0.284648389,0.017718276,0.377097964,0.592677474,1.152015805,0.631022811
KY,Campbell County,-0.927989244,0.24527052,0.751019061,0.064194754,1.285120964,0.937026858
KY,Carlisle County,0.982664704,0.99262476,1.782920718,0.494990408,1.199380517,1.766176939
KY,Carroll County,0.94705379,-0.287519932,0.417368233,0.431526393,0.561579645,0.177910656
KY,Carter County,0.791825831,0.909174263,1.057268262,-0.566161215,-0.249437064,0.787258565
KY,Casey County,1.555780888,1.310677528,0.629354537,0.254513234,-1.395019174,0.654115438
KY,Christian County,0.329797834,0.458874047,-0.119071968,0.910868406,0.731227517,0.506066144
KY,Clark County,-0.240259111,-0.057552185,0.653106034,0.170937672,1.355693579,0.671396434
KY,Clay County,2.179092646,0.94701153,0.647194445,-0.924800754,-0.440013945,0.264148027
KY,Clinton County,1.817072272,0.072044767,-0.256956637,-0.272615075,1.199542403,-0.190376431
KY,Crittenden County,1.011633515,0.733005464,-0.085084759,0.453272015,1.152771235,0.542791367
KY,Cumberland County,1.688708901,0.017275687,0.42110303,-0.720705986,1.168730617,0.061162449
KY,Daviess County,-0.204946831,0.061611533,-0.39706859,0.842015207,0.409333318,0.128535047
KY,Edmonson County,1.233260989,1.945580959,1.112267137,-0.213929623,1.231469631,1.681060791
KY,Elliott County,1.642441273,2.87891221,0.125695333,-1.040147662,0.436107725,1.199177265
KY,Estill County,1.287938237,0.780904174,0.213424399,-0.432961076,1.223480225,0.485921532
KY,Fayette County,-1.755164027,-0.682246089,0.040169209,0.289413422,-1.395136118,-0.297617525
KY,Fleming County,0.986493647,0.701663136,1.224111795,-6.35E-05,0.492111683,1.032299876
KY,Floyd County,0.687690377,-0.300419658,0.334849685,-1.47570622,-0.081126615,-0.456084818
KY,Franklin County,-0.809357285,-0.727924407,-0.001325932,0.221421942,1.139630198,-0.010003539
KY,Fulton County,1.192981243,-1.20354557,0.808575332,0.606500566,1.186005235,0.04420827
KY,Gallatin County,1.185403228,1.511657119,0.29110235,0.076997958,-0.128717646,0.809286892
KY,Garrard County,0.694648087,1.178682327,1.122668982,-0.091396257,-1.396444321,0.887383223
KY,Grant County,0.627735972,1.330132961,0.208323196,-0.242342234,1.371152997,0.938247025
KY,Graves County,0.434093684,0.521862745,0.945519626,1.040013194,1.286619067,1.269058704
